City,2013,2014,2015,2016,2017,total_deaths,Massachusetts Cities by Population Rank,Population,County
Abington,2,2,6,2,3,15,122,16396,Plymouth
Acton,0,3,4,7,1,15,84,23777,Middlesex
Acushnet,0,1,4,4,7,16,178,10544,Bristol
Adams,1,2,3,1,0,7,204,8090,Berkshire
Agawam,3,3,5,4,6,21,NA,28849,Hampden
Alford,0,0,0,0,0,0,342,486,Berkshire
Amesbury,2,1,7,8,9,27,NA,17457,Essex
Amherst,2,2,1,2,3,10,40,40046,Hampshire
Andover,4,6,6,3,2,21,46,35937,Essex
Aquinnah,0,1,1,0,0,2,345,327,Dukes
Arlington,3,5,6,6,3,23,28,45510,Middlesex
Ashburnham,0,1,1,2,0,4,231,6304,Worcester
Ashby,0,0,0,0,0,0,272,3223,Middlesex
Ashfield,0,0,1,0,0,1,301,1733,Franklin
Ashland,0,1,4,4,3,12,112,17706,Middlesex
Athol,2,2,3,3,5,15,167,11711,Worcester
Attleboro,13,10,10,18,26,77,29,44590,Bristol
Auburn,2,1,3,2,3,11,119,16702,Worcester
Avon,1,2,3,3,2,11,258,4496,Norfolk
Ayer,1,1,1,7,1,11,201,8145,Middlesex
Barnstable,8,11,13,21,13,66,NA,44163,Barnstable
Barre,0,0,3,0,0,3,240,5569,Worcester
Becket,0,0,0,0,0,0,302,1723,Berkshire
Bedford,0,3,1,6,3,13,141,14197,Middlesex
Belchertown,3,2,2,2,5,14,133,15100,Hampshire
Bellingham,1,2,3,5,4,15,116,17093,Norfolk
Belmont,0,4,4,4,2,14,74,26458,Middlesex
Berkley,1,2,0,5,3,11,223,6707,Bristol
Berlin,0,0,1,0,0,1,273,3176,Worcester
Bernardston,0,0,0,1,0,1,287,2111,Franklin
Beverly,5,8,14,18,11,56,34,41816,Essex
Billerica,4,12,13,16,14,59,31,43962,Middlesex
Blackstone,0,2,3,7,1,13,191,9304,Worcester
Blandford,0,0,0,0,0,0,316,1260,Hampden
Bolton,0,0,2,1,0,3,243,5283,Worcester
Boston,87,108,150,194,191,730,1,685094,Suffolk
Bourne,2,5,8,9,12,36,97,19879,Barnstable
Boxborough,0,0,0,1,1,2,227,6401,Middlesex
Boxford,0,0,2,1,1,4,198,8310,Essex
Boylston,0,0,2,0,1,3,257,4634,Worcester
Braintree,4,8,10,9,15,46,NA,37156,Norfolk
Brewster,1,1,0,3,0,5,184,9836,Barnstable
Bridgewater,5,4,13,10,7,39,71,27478,Plymouth
Brimfield,0,0,0,1,1,2,264,3745,Hampden
Brockton,27,26,48,43,49,193,6,95672,Plymouth
Brookfield,1,2,0,1,2,6,268,3437,Worcester
Brookline,1,1,3,2,6,13,19,59157,Norfolk
Buckland,1,0,1,0,0,2,294,1874,Franklin
Burlington,3,3,3,8,8,25,72,27176,Middlesex
Cambridge,6,8,12,27,12,65,4,113630,Middlesex
Canton,4,4,6,6,9,29,85,23444,Norfolk
Carlisle,0,0,0,0,0,0,245,5235,Middlesex
Carver,2,5,6,8,6,27,166,11715,Plymouth
Charlemont,0,0,0,0,0,0,319,1240,Franklin
Charlton,1,1,0,4,6,12,150,13571,Worcester
Chatham,0,1,2,1,0,4,233,6169,Barnstable
Chelmsford,3,3,5,7,6,24,48,35099,Middlesex
Chelsea,7,7,18,14,14,60,39,40227,Suffolk
Cheshire,0,0,0,1,0,1,275,3142,Berkshire
Chester,0,0,0,0,1,1,312,1380,Hampden
Chesterfield,0,0,0,0,0,0,317,1258,Hampshire
Chicopee,9,7,18,26,19,79,23,55515,Hampden
Chilmark,0,1,0,0,0,1,326,916,Dukes
Clarksburg,1,0,0,0,1,2,304,1643,Berkshire
Clinton,2,4,6,7,2,21,146,13963,Worcester
Cohasset,0,3,0,2,1,6,197,8516,Norfolk
Colrain,0,0,0,0,0,0,303,1665,Franklin
Concord,0,0,0,1,1,2,98,19237,Middlesex
Conway,0,0,0,0,0,0,293,1878,Franklin
Cummington,0,0,0,0,0,0,329,881,Hampshire
