County,Year,Deaths,DeathsPerCapita,TotalDeathsAllYears,TotalPrescriptions,Population,TotalDeathsPerCapita
Barnstable,2000,12,0.0026578165228364216,575,22970,216343,0.0026578165228364216
Berkshire,2000,2,0.0017496096722816323,223,13973,127457,0.0017496096722816323
Bristol,2000,38,0.0033085340404721635,1874,64738,566414,0.0033085340404721635
Dukes,2000,1,0.0016701220916839439,29,1507,17364,0.0016701220916839439
Essex,2000,51,0.002607482869443939,2064,64492,791568,0.002607482869443939
Franklin,2000,5,0.001622173432714763,116,8584,71509,0.001622173432714763
Hampden,2000,32,0.0021685515680295955,1027,52876,473588,0.0021685515680295955
Hampshire,2000,5,0.001533415683434851,252,15080,164339,0.001533415683434851
Middlesex,2000,64,0.0018104250256110418,2923,91295,1614538,0.0018104250256110418
Nantucket,2000,0,0.001067900685236273,12,1022,11237,0.001067900685236273
Norfolk,2000,29,0.0020411627413537024,1443,48152,706950,0.0020411627413537024
Plymouth,2000,23,0.0025296503469619206,1316,47055,520230,0.0025296503469619206
Suffolk,2000,49,0.0025658152164431494,2059,43603,802474,0.0025658152164431494
Worcester,2000,68,0.0023402022491877134,1949,71713,832834,0.0023402022491877134
Barnstable,2001,19,0.0026578165228364216,575,22970,216343,0.0026578165228364216
Berkshire,2001,3,0.0017496096722816323,223,13973,127457,0.0017496096722816323
Bristol,2001,58,0.0033085340404721635,1874,64738,566414,0.0033085340404721635
Dukes,2001,0,0.0016701220916839439,29,1507,17364,0.0016701220916839439
Essex,2001,65,0.002607482869443939,2064,64492,791568,0.002607482869443939
Franklin,2001,2,0.001622173432714763,116,8584,71509,0.001622173432714763
Hampden,2001,37,0.0021685515680295955,1027,52876,473588,0.0021685515680295955
Hampshire,2001,5,0.001533415683434851,252,15080,164339,0.001533415683434851
Middlesex,2001,86,0.0018104250256110418,2923,91295,1614538,0.0018104250256110418
Nantucket,2001,1,0.001067900685236273,12,1022,11237,0.001067900685236273
Norfolk,2001,42,0.0020411627413537024,1443,48152,706950,0.0020411627413537024
Plymouth,2001,25,0.0025296503469619206,1316,47055,520230,0.0025296503469619206
Suffolk,2001,87,0.0025658152164431494,2059,43603,802474,0.0025658152164431494
Worcester,2001,75,0.0023402022491877134,1949,71713,832834,0.0023402022491877134
Barnstable,2002,21,0.0026578165228364216,575,22970,216343,0.0026578165228364216
Berkshire,2002,1,0.0017496096722816323,223,13973,127457,0.0017496096722816323
Bristol,2002,66,0.0033085340404721635,1874,64738,566414,0.0033085340404721635
Dukes,2002,1,0.0016701220916839439,29,1507,17364,0.0016701220916839439
Essex,2002,55,0.002607482869443939,2064,64492,791568,0.002607482869443939
Franklin,2002,1,0.001622173432714763,116,8584,71509,0.001622173432714763
Hampden,2002,42,0.0021685515680295955,1027,52876,473588,0.0021685515680295955
Hampshire,2002,5,0.001533415683434851,252,15080,164339,0.001533415683434851
Middlesex,2002,92,0.0018104250256110418,2923,91295,1614538,0.0018104250256110418
Nantucket,2002,0,0.001067900685236273,12,1022,11237,0.001067900685236273
Norfolk,2002,44,0.0020411627413537024,1443,48152,706950,0.0020411627413537024
Plymouth,2002,29,0.0025296503469619206,1316,47055,520230,0.0025296503469619206
Suffolk,2002,98,0.0025658152164431494,2059,43603,802474,0.0025658152164431494
Worcester,2002,71,0.0023402022491877134,1949,71713,832834,0.0023402022491877134
Barnstable,2003,15,0.0026578165228364216,575,22970,216343,0.0026578165228364216
Berkshire,2003,2,0.0017496096722816323,223,13973,127457,0.0017496096722816323
Bristol,2003,84,0.0033085340404721635,1874,64738,566414,0.0033085340404721635
Dukes,2003,0,0.0016701220916839439,29,1507,17364,0.0016701220916839439
Essex,2003,81,0.002607482869443939,2064,64492,791568,0.002607482869443939
Franklin,2003,5,0.001622173432714763,116,8584,71509,0.001622173432714763
Hampden,2003,46,0.0021685515680295955,1027,52876,473588,0.0021685515680295955
